country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Ethiopia,,,,,,,,,,,,25.2,42.6,44.9,52.3,55.2,62.6,70.4,71.2,68.9,71.4,68.2,89.7,111,147,136,119,119,134,72.9,67.4,70.2,84,85.1,65.8,50.4,15,13.5,10.7,16.7,24.6,27,24.2,26.5,29.4,31.4,32
Fiji,5.54,6.28,6.78,11.2,9.8,8.87,9.35,17,12.5,14.1,18.3,22.6,26.1,30.4,27.4,29.7,26.5,31.3,33.9,27.2,24.7,21,17.4,15.6,11.3,9.5,7.89,7.69,8.77,10.9,11.3,11,11.4,11.1,9.67,9.92,12.3,11.4,11.3,18.3,18.7,23.1,19.4,19.3,20.1,20.9,19.6
Gabon,33.8,40.7,57.1,59.6,37.2,44,43.6,55.5,70,64.5,39.3,32.1,30.3,29.5,27.5,39,61.6,86.2,80,84.8,74.6,87.1,79.1,103,113,102,87.4,92.8,112,97.8,91.4,78.3,72.3,65.2,62.2,45.8,47.8,45.8,16.1,21.7,20.2,17.8,18.6,27.2,24.7,38.7,38.7
Gambia,9.71,10.1,12.8,12,12.9,11.7,13.6,27.2,29.1,39.7,57.7,81.9,98.8,106,129,97.6,126,130,120,126,127,57.2,58,57.9,58.1,55.3,54.3,54.4,56.4,60,65.1,75.4,107,139,123,113,116,92.8,43.1,59.2,58.3,57.8,61.4,62.8,63.9,57.9,54
Georgia,,,,,,,,,,,,,,,,,,,,,,,2.16,21,58.7,48.2,45,40.3,43.3,62.8,57.5,58.7,59.7,53.6,44.5,33.2,32.5,29.3,61.2,81.4,85.6,81.1,79,85,85.8,109,118
Ghana,26.4,22.9,28.9,30.9,25.4,25.8,25.9,33.6,35,32,31.6,36.6,36.9,41.4,45,51,49.4,67.1,61.8,66.3,67.2,67.6,71.5,83.5,103,93.7,94.9,93.9,95.1,94,139,132,127,111,83.4,69.2,18.2,20.5,19.2,28.5,28.8,29.3,32.2,35.8,49.8,56.7,51.8
Grenada,,,,,,,,20.5,22,22.2,19.8,30.7,37.8,46,39.5,36.8,35.9,38.6,39.4,35.6,42.4,42.4,38.5,49.6,41.2,39,40,31.1,40.7,30.3,41,49.2,75.5,68.3,80.5,61.2,74.4,74.4,74.7,85.1,82.9,77.4,83.1,75.3,75.5,72.2,132
Guatemala,10.3,11.3,11.4,11.1,10.4,11.1,10.8,13.7,15,16.5,16.2,16.1,19.2,21.5,26.8,29.2,41.5,41.9,35.3,32.8,38.8,30.8,27.3,26.1,24.6,23,22.1,20,19.2,21.4,20.7,23.5,22.1,23.9,34.4,35.6,37,38.1,36.4,40.5,37.5,35.4,30.8,32.8,33.8,32.5,31.7
Guinea,,,,,,,,,,,,,,,,,99.8,108,101,96.3,98.9,92.2,84.4,89.1,94.1,90.1,86,95.9,103,94.9,106,106,109,99.3,100,127,133,95,85.5,83.1,78.6,72,26.4,24.3,23.1,22.3,23.8
Guinea-Bissau,0,0,0,0,0,7.09,15.4,23.7,44.3,59.5,131,97.6,104,122,184,200,288,291,367,297,298,311,358,355,383,379,372,363,504,447,265,240,240,229,214,178,179,158,129,141,131,25.7,28.1,27,24.6,29.9,26.3
Guyana,33.5,59.3,57.6,61.1,53.7,68.3,99.2,124,127,137,150,181,239,299,360,396,399,673,594,648,713,826,680,526,426,373,247,236,229,225,208,208,208,210,202,159,82.2,49.8,51.9,71.1,62,77.6,69.2,76.3,75.5,51.2,47.3
